unit_id,within_group_similarity,between_group_similarity,similarity_gap,association_auc,anisotropy,effective_rank,model
eb54,0.9620527476072311,0.962454297269384,-0.0004015496621528891,0.5099826388888888,0.9623739719390869,4.170207500457764,gpt2_lnfree
3c16,0.9338319276769956,0.9357246297101179,-0.0018927020331223066,0.4965277777777778,0.9353460669517517,3.1187355518341064,gpt2_lnfree
146e,0.9394696404536566,0.9425887440641721,-0.0031191036105155945,0.47265625,0.9419649839401245,2.0767874717712402,gpt2_lnfree
a3dd,0.9843399003148079,0.9804642666131258,0.0038756337016820908,0.5855034722222222,0.981239378452301,2.7616679668426514,gpt2_lnfree
a1f3,0.9408109212915102,0.9453590245296558,-0.004548103238145584,0.46354166666666663,0.9444494247436523,2.104931116104126,gpt2_lnfree
f4bf,0.9510614400108656,0.9500064638753732,0.0010549761354923248,0.5321180555555556,0.9502174258232117,2.994591474533081,gpt2_lnfree
27a4,0.9525342310468355,0.947558264558514,0.004975966488321548,0.5373263888888888,0.9485534429550171,4.061456203460693,gpt2_lnfree
20d9,0.9573601707816124,0.9553200136870146,0.0020401570945978165,0.52734375,0.9557281732559204,2.437498092651367,gpt2_lnfree
bf41,0.9665073777238528,0.965523116911451,0.0009842608124017715,0.5013020833333333,0.965719997882843,1.9177943468093872,gpt2_lnfree
58e6,0.9704863602916399,0.966969688112537,0.0035166721791028976,0.55078125,0.9676730036735535,4.04652738571167,gpt2_lnfree
cb63,0.9803542693456014,0.9790688126037518,0.0012854567418496554,0.5221354166666667,0.9793258905410767,1.8470081090927124,gpt2_lnfree
cadf,0.9857735882202784,0.9845985000332197,0.0011750881870586927,0.5494791666666666,0.9848335385322571,1.930854320526123,gpt2_lnfree
5edc,0.9776219576597214,0.9695653095841408,0.008056648075580597,0.6332465277777778,0.9711766839027405,1.4994210004806519,gpt2_lnfree
6586,0.9529680982232094,0.9571360566963752,-0.004167958473165867,0.5047743055555556,0.9563024640083313,2.548300266265869,gpt2_lnfree
64a1,0.9800859143336614,0.9786117269347111,0.001474187398950333,0.572048611111111,0.9789065718650818,1.976064920425415,gpt2_lnfree
64a9,0.935754212240378,0.9398023759325346,-0.004048163692156548,0.5364583333333334,0.9389927983283997,1.7892191410064697,gpt2_lnfree
d430,0.967426210641861,0.9654765898982683,0.0019496207435926172,0.5325520833333333,0.9658665060997009,3.265275478363037,gpt2_lnfree
bfae,0.9645293255647024,0.9653499033302069,-0.0008205777655044821,0.5034722222222222,0.965185821056366,2.1554644107818604,gpt2_lnfree
f2e5,0.9750100101033846,0.9773664164046446,-0.0023564063012599945,0.49131944444444453,0.9768951535224915,1.977205514907837,gpt2_lnfree
7db9,0.9575274586677551,0.9569022258122762,0.0006252328554788855,0.5438368055555556,0.9570273160934448,4.568627834320068,gpt2_lnfree
047f,0.972742035984993,0.9726909101009369,5.112588405609131e-05,0.49956597222222215,0.9727011322975159,1.5893350839614868,gpt2_lnfree
97b9,0.97873422006766,0.9805337420354286,-0.0017995219677686691,0.4266493055555556,0.9801738858222961,3.1146183013916016,gpt2_lnfree
350e,0.9644455959399542,0.963032677769661,0.0014129181702932092,0.5295138888888888,0.9633151888847351,2.1833646297454834,gpt2_lnfree
2a23,0.971845323840777,0.9680776298046112,0.003767694036165836,0.54296875,0.9688311219215393,2.1573784351348877,gpt2_lnfree
6e21,0.9650205795963606,0.9609627823034922,0.00405779729286837,0.5360243055555556,0.9617742896080017,2.1121554374694824,gpt2_lnfree
8f3e,0.9690151090423266,0.9689476235459248,6.74854964017868e-05,0.5043402777777778,0.9689611196517944,5.711610794067383,gpt2_lnfree
53f3,0.9673130785425504,0.9647978010276953,0.002515277514855141,0.5555555555555556,0.9653008580207825,1.90483820438385,gpt2_lnfree
d7f2,0.9748174448808035,0.9701744380096594,0.004643006871144051,0.5907118055555556,0.9711030721664429,2.1839983463287354,gpt2_lnfree
b6ae,0.9604818224906921,0.962384240080913,-0.0019024175902208063,0.49999999999999994,0.962003767490387,1.684881567955017,gpt2_lnfree
1db1,0.9711739867925644,0.972920178125302,-0.0017461913327375678,0.484375,0.9725709557533264,2.521646022796631,gpt2_lnfree
6679,0.9734785879651705,0.9760824665427208,-0.0026038785775502893,0.47873263888888895,0.9755616784095764,2.316868782043457,gpt2_lnfree
176f,0.9602217177549998,0.9598924331367016,0.0003292846182981757,0.5625,0.9599582552909851,2.0378670692443848,gpt2_lnfree
